,0,1
50,"{'epsilon': 0.1, 'D': 9.5, 'r': 0.01, 'd': 6.5, 'N_init': 5}",4.462079434180243e-05
51,"{'epsilon': 0.1, 'D': 7.5, 'r': 0.01, 'd': 7.0, 'N_init': 15}",4.503641713676159e-05
52,"{'epsilon': 0.1, 'D': 7.0, 'r': 0.01, 'd': 6.5, 'N_init': 10}",4.525163956089204e-05
53,"{'epsilon': 0.1, 'D': 7.5, 'r': 0.01, 'd': 10.0, 'N_init': 5}",4.561163531599922e-05
54,"{'epsilon': 0.1, 'D': 9.5, 'r': 0.01, 'd': 5.5, 'N_init': 5}",4.5678250709519285e-05
55,"{'epsilon': 0.1, 'D': 7.0, 'r': 0.01, 'd': 5.0, 'N_init': 5}",4.5873197757028404e-05
56,"{'epsilon': 0.1, 'D': 5.5, 'r': 0.01, 'd': 5.5, 'N_init': 15}",4.5952034085702126e-05
57,"{'epsilon': 0.1, 'D': 6.5, 'r': 0.01, 'd': 7.5, 'N_init': 5}",4.6060344697519174e-05
58,"{'epsilon': 0.1, 'D': 5.5, 'r': 0.01, 'd': 9.0, 'N_init': 10}",4.701661666925203e-05
59,"{'epsilon': 0.1, 'D': 7.0, 'r': 0.01, 'd': 9.0, 'N_init': 10}",4.705257274616564e-05
60,"{'epsilon': 0.1, 'D': 8.5, 'r': 0.01, 'd': 7.5, 'N_init': 5}",4.720024071842673e-05
61,"{'epsilon': 0.1, 'D': 5.5, 'r': 0.01, 'd': 8.0, 'N_init': 15}",4.7332420319662566e-05
62,"{'epsilon': 0.1, 'D': 9.0, 'r': 0.01, 'd': 5.5, 'N_init': 5}",4.73670951696984e-05
63,"{'epsilon': 0.1, 'D': 5.0, 'r': 0.01, 'd': 5.5, 'N_init': 10}",4.8132376959441004e-05
64,"{'epsilon': 0.1, 'D': 9.5, 'r': 0.01, 'd': 9.5, 'N_init': 5}",4.815128801537389e-05
65,"{'epsilon': 0.1, 'D': 7.0, 'r': 0.01, 'd': 5.5, 'N_init': 5}",4.8216447713977905e-05
66,"{'epsilon': 0.1, 'D': 7.5, 'r': 0.01, 'd': 6.5, 'N_init': 15}",4.8940476635757585e-05
67,"{'epsilon': 0.1, 'D': 6.0, 'r': 0.01, 'd': 5.0, 'N_init': 15}",4.8997946677076294e-05
68,"{'epsilon': 0.1, 'D': 9.5, 'r': 0.01, 'd': 7.0, 'N_init': 10}",4.941416969908976e-05
69,"{'epsilon': 0.1, 'D': 5.0, 'r': 0.01, 'd': 9.5, 'N_init': 10}",4.950426721143385e-05
70,"{'epsilon': 0.1, 'D': 6.0, 'r': 0.01, 'd': 10.0, 'N_init': 10}",4.955862780803995e-05
71,"{'epsilon': 0.1, 'D': 5.5, 'r': 0.01, 'd': 8.0, 'N_init': 10}",4.960714599238248e-05
72,"{'epsilon': 0.1, 'D': 5.0, 'r': 0.01, 'd': 9.5, 'N_init': 15}",4.980483493986511e-05
73,"{'epsilon': 0.1, 'D': 5.0, 'r': 0.01, 'd': 7.0, 'N_init': 5}",5.014391323054696e-05
74,"{'epsilon': 0.1, 'D': 6.0, 'r': 0.01, 'd': 6.0, 'N_init': 10}",5.0146882028071875e-05
75,"{'epsilon': 0.1, 'D': 6.0, 'r': 0.01, 'd': 6.5, 'N_init': 10}",5.026237468364566e-05
76,"{'epsilon': 0.1, 'D': 9.5, 'r': 0.01, 'd': 9.0, 'N_init': 5}",5.03532144133658e-05
77,"{'epsilon': 0.1, 'D': 6.0, 'r': 0.01, 'd': 9.5, 'N_init': 5}",5.035410039414455e-05
